Decoded 3167.8 seconds
[35:34.680 --> 35:35.680] 我不知道
[35:35.680 --> 35:36.680] 这段时间是到6月
[35:36.680 --> 35:37.680] 我把它倒进去
[35:37.680 --> 35:38.680] 就出去了
[35:38.680 --> 35:39.680] 多少钱
[35:39.680 --> 35:40.680] 把它解开就好
[35:40.680 --> 35:41.680] 然后后面就开始
[35:41.680 --> 35:42.680] 七月份的
[35:42.680 --> 35:43.680] 七月份的数据
[35:43.680 --> 35:45.680] 多多接到这个数据
[35:48.680 --> 35:51.680] 那对我七成年
[35:51.680 --> 35:52.680] 整个成年
[35:52.680 --> 35:53.680] 从4月份开始
[35:53.680 --> 35:54.680] 多往里面疲弊啊
[35:54.680 --> 35:55.680] 对啊
[35:57.680 --> 35:59.680] 那就支持把它一批
[36:00.680 --> 36:02.680] 一直把所有的数据
[36:02.680 --> 36:03.680] 多多疲弊
[36:03.680 --> 36:04.680] 然后此就
[36:04.680 --> 36:05.680] 刷成一个数据
[36:06.680 --> 36:07.680] 基础的数据
[36:07.680 --> 36:08.680] 有了必定的数据
[36:08.680 --> 36:09.680] 就有了必定的数据
[36:09.680 --> 36:10.680] 所以我说
[36:10.680 --> 36:11.680] 我现在
[36:11.680 --> 36:12.680] 我现在
[36:12.680 --> 36:13.680] 我现在
[36:13.680 --> 36:14.680] 我现在
[36:14.680 --> 36:15.680] 我现在
[36:15.680 --> 36:16.680] 我现在
[36:17.680 --> 36:18.680] 基础的数据
[36:18.680 --> 36:19.680] 有了必定
[36:19.680 --> 36:20.680] 之前预算表会就做过
[36:20.680 --> 36:22.680] 预算做多少
[36:22.680 --> 36:23.680] 然后十几完成页
[36:23.680 --> 36:24.680] 就多少能用多少
[36:24.680 --> 36:25.680] 已经换多少
[36:25.680 --> 36:26.680] 也没有超过
[36:26.680 --> 36:27.680] 对面我两个事情的
[36:27.680 --> 36:28.680] 嗯
[36:31.680 --> 36:32.680] 就是里面有些数据
[36:32.680 --> 36:33.680] 我跟财务在对下
[36:33.680 --> 36:34.680] 有些财务在对下
[36:34.680 --> 36:35.680] 有些财务在对下
[36:35.680 --> 36:36.680] 有些财务在对下
[36:36.680 --> 36:37.680] 有些财务在对下
[36:37.680 --> 36:38.680] 有些财务在对下
[36:38.680 --> 36:39.680] 有些财务在对下
[36:39.680 --> 36:40.680] 有些财务在对下
[36:40.680 --> 36:41.680] 有些财务在对下
[36:41.680 --> 36:42.680] 有些财务在对下
[36:42.680 --> 36:43.680] 有些财务在对下
[36:43.680 --> 36:44.680] 有些财务在对下
[36:45.680 --> 36:47.680] 我们直接就通过就行
[36:47.680 --> 36:49.680] 上帐他们帮他们行
[36:49.680 --> 36:50.680] 上帐是疼癖
[36:50.680 --> 36:51.680] 这活动要做这个活动
[36:51.680 --> 36:53.680] 是不需要去走神癖
[36:53.680 --> 36:54.680] 要神癖
[36:55.680 --> 36:56.680] 神癖还是要做
[36:57.680 --> 36:59.680] 你不能说他这个吃的有五万
[36:59.680 --> 37:00.680] 然后我一个公民
[37:00.680 --> 37:01.680] 需要一个小卡拉米
[37:01.680 --> 37:02.680] 也是五万
[37:02.680 --> 37:03.680] 那我可能要卡他不能
[37:03.680 --> 37:04.680] 我要也好
[37:04.680 --> 37:05.680] 是不是
[37:05.680 --> 37:06.680] 是不是给到这个
[37:06.680 --> 37:07.680] 他这个五万
[37:07.680 --> 37:08.680] 给他小厨子开了
[37:08.680 --> 37:09.680] 这个商外部的
[37:09.680 --> 37:10.680] 他全用了
[37:10.680 --> 37:11.680] 他把他吃到不用了
[37:11.680 --> 37:12.680] 那你也肯定不行
[37:14.680 --> 37:15.680] 这个只是我
[37:15.680 --> 37:17.680] 抄我们也可以给他抄一点
[37:17.680 --> 37:18.680] 也不是不能给他抄
[37:18.680 --> 37:19.680] 跟特殊情况
[37:19.680 --> 37:21.680] 我们也可以给他抄一点
[37:21.680 --> 37:22.680] 抄的问题是
[37:22.680 --> 37:23.680] 我们要心里知道他这个
[37:23.680 --> 37:24.680] 已经抄了
[37:24.680 --> 37:26.680] 然后打伤去给他抄多少钱
[37:26.680 --> 37:27.680] 他自己心里一样有数
[37:27.680 --> 37:28.680] 对
[37:29.680 --> 37:31.680] 还有哪些作用
[37:31.680 --> 37:32.680] 哪些费用作用
[37:32.680 --> 37:33.680] 专项不成的
[37:36.680 --> 37:38.680] 就我们公司相当于是
[37:40.680 --> 37:41.680] 公司相当于是那个嘛
[37:41.680 --> 37:43.680] 公司相当于是
[37:43.680 --> 37:44.680] 相当于是那个嘛
[37:44.680 --> 37:45.680] 中央
[37:45.680 --> 37:47.680] 中央财政领域很流利
[37:47.680 --> 37:48.680] 不流利的领域
[37:48.680 --> 37:49.680] 你办什么事呢
[38:02.680 --> 38:03.680] 这个卡就是
[38:04.680 --> 38:05.680] 现在现实有一些
[38:05.680 --> 38:06.680] 比如说
[38:06.680 --> 38:09.680] 上次50多万Q4基督
[38:09.680 --> 38:11.680] 奖励那些东西
[38:11.680 --> 38:12.680] 就原工之前
[38:12.680 --> 38:13.680] 就是有奖励
[38:13.680 --> 38:15.680] 那个到大陆土地在里面
[38:15.680 --> 38:16.680] 那种的话是不是要再
[38:16.680 --> 38:18.680] 再就持续
[38:18.680 --> 38:19.680] 他现在是把它拿到费用里去
[38:19.680 --> 38:21.680] 因为它是一月后发
[38:21.680 --> 38:22.680] 那就变成四月份
[38:22.680 --> 38:23.680] 有很多了
[38:23.680 --> 38:24.680] 这种也行
[38:24.680 --> 38:26.680] 但是你投这个什么
[38:26.680 --> 38:27.680] 比贵
[38:28.680 --> 38:29.680] 比贵
[38:31.680 --> 38:32.680] 比贵贝福斯
[38:33.680 --> 38:34.680] 三上奖励
[38:35.680 --> 38:36.680] 赞费
[38:37.680 --> 38:39.680] 新品的一些基地
[38:42.680 --> 38:43.680] 赞费
[38:53.680 --> 38:54.680] 这个反应就是
[38:54.680 --> 38:55.680] 慢慢来
[38:55.680 --> 38:56.680] 没有反应是
[38:56.680 --> 38:57.680] 在那些里面
[38:57.680 --> 38:58.680] 可能是
[38:58.680 --> 38:59.680] 一次都说的
[38:59.680 --> 39:01.680] 这次就要分类了
[39:01.680 --> 39:03.680] 分类了还是要分类
[39:03.680 --> 39:04.680] 总的总的
[39:04.680 --> 39:06.680] 然后平均下来
[39:09.680 --> 39:10.680] 是一层层往下播
[39:10.680 --> 39:11.680] 对对对
[39:11.680 --> 39:12.680] 些公司
[39:12.680 --> 39:13.680] 出版的就那支
[39:13.680 --> 39:14.680] 线下给你
[39:14.680 --> 39:15.680] 有多少钱的话
[39:15.680 --> 39:16.680] 就一个部门的
[39:16.680 --> 39:17.680] 一个预算
[39:17.680 --> 39:18.680] 也好预算
[39:18.680 --> 39:19.680] 这个概念
[39:19.680 --> 39:20.680] 这个概念
[39:20.680 --> 39:21.680] 这个概念
[39:21.680 --> 39:22.680] 这个概念
[39:22.680 --> 39:23.680] 这个概念
[39:23.680 --> 39:24.680] 这个概念
[39:24.680 --> 39:25.680] 这个概念
[39:25.680 --> 39:26.680] 这个概念
[39:26.680 --> 39:27.680] 这个概念
[39:27.680 --> 39:28.680] 预算
[39:28.680 --> 39:29.680] 预算一样的这个概念
[39:29.680 --> 39:30.680] 物料
[39:32.680 --> 39:33.680] 物料
[39:33.680 --> 39:35.680] 物料是展现过的
[39:35.680 --> 39:36.680] 不是不是
[39:36.680 --> 39:37.680] 有些比方
[39:37.680 --> 39:38.680] 跟天天天天
[39:38.680 --> 39:39.680] 要提啊
[39:39.680 --> 39:41.680] 那你怎么了
[39:44.680 --> 39:45.680] 那种物料
[39:45.680 --> 39:46.680] 现在我是
[39:46.680 --> 39:47.680] 都放在
[39:47.680 --> 39:48.680] 他们的信用里面
[39:48.680 --> 39:49.680] 就单独
[39:49.680 --> 39:50.680] 因为物料是有生气
[39:50.680 --> 39:52.680] 不是也是体会生气
[39:52.680 --> 39:53.680] 然后把那个
[39:53.680 --> 39:54.680] 单独拉出来
[39:54.680 --> 39:55.680] 他们的
[39:55.680 --> 39:57.680] 这个CQR的品种料理
[39:57.680 --> 39:58.680] 就有
[39:58.680 --> 39:59.680] 对
[39:59.680 --> 40:00.680] 对
[40:00.680 --> 40:01.680] 对
[40:01.680 --> 40:02.680] 对
[40:02.680 --> 40:03.680] 然后
[40:03.680 --> 40:05.680] 其他的就连反
[40:05.680 --> 40:06.680] 然后
[40:06.680 --> 40:07.680] 阶段性的比方说
[40:07.680 --> 40:08.680] 嗯
[40:08.680 --> 40:09.680] 阶段的
[40:09.680 --> 40:10.680] 这个可以
[40:10.680 --> 40:11.680] 嗯
[40:12.680 --> 40:13.680] 这个可以
[40:13.680 --> 40:14.680] 然后包括
[40:14.680 --> 40:15.680] 有一些
[40:15.680 --> 40:16.680] 比方上赛成的
[40:16.680 --> 40:17.680] 这次不是
[40:17.680 --> 40:18.680] 有时候
[40:18.680 --> 40:19.680] 每个月
[40:19.680 --> 40:20.680] 十个月
[40:20.680 --> 40:21.680] 那个
[40:21.680 --> 40:22.680] 就赛成那种
[40:23.680 --> 40:24.680] 复材
[40:29.680 --> 40:30.680] 所以
[40:31.680 --> 40:32.680] 那会对
[40:32.680 --> 40:33.680] 那要
[40:33.680 --> 40:34.680] 所以
[40:44.680 --> 40:45.680] 所以
[40:45.680 --> 40:46.680] 所以
[40:46.680 --> 40:47.680] 那
[40:49.680 --> 40:50.680] 对
[40:53.680 --> 40:54.680] 哎
[40:54.680 --> 40:55.680] 对
[40:57.680 --> 40:58.680] 面孔两面孔
[40:58.680 --> 40:59.680] 面孔两
[41:03.680 --> 41:04.680] 有一些鸟
[41:05.680 --> 41:06.680] 发钱发钱发钱
[41:06.680 --> 41:07.680] 嗯
[41:08.680 --> 41:09.680] 一边鸟
[41:09.680 --> 41:10.680] 一边烧肉
[41:10.680 --> 41:11.680] 一搶来
[41:11.680 --> 41:12.680] 就肉你不吃过了
[41:16.680 --> 41:17.680] 是不是肉
[41:17.680 --> 41:18.680] 一搶来
[41:18.680 --> 41:19.680] 就肉你不吃过了
[41:23.680 --> 41:24.680] 发钱发钱
[41:24.680 --> 41:25.680] 发钱发钱
[41:25.680 --> 41:26.680] 我说发钱
[41:26.680 --> 41:27.680] 我说发钱
[41:27.680 --> 41:28.680] 我说我自己一边
[41:28.680 --> 41:29.680] 哈哈哈
[41:29.680 --> 41:30.680] 你干什么
[41:30.680 --> 41:31.680] 你干什么
[41:31.680 --> 41:32.680] 我
[41:32.680 --> 41:33.680] 我
[41:33.680 --> 41:34.680] 我这要来
[41:34.680 --> 41:35.680] 你要把你这样推
[41:35.680 --> 41:36.680] 啊
[41:36.680 --> 41:37.680] 我来我来
[41:37.680 --> 41:38.680] 我给你弄
[41:38.680 --> 41:39.680] 弄弄弄弄
[41:39.680 --> 41:40.680] 弄弄弄弄
[41:40.680 --> 41:42.680] 弄弄弄弄
[41:42.680 --> 41:43.680] 弄弄弄
